Fawdon Community Library,Fawdon Library,Fawdon Park Road,55.013782,-1.645973,,,,,,,Shop?,,
,Fawdon Partnership Library,"Fawdon Community Centre
Fawdon Park Road
Newcastle upon Tyne
NE3 2PJ",55.01434,-1.647460,,,,,,31/03/2015,Community Run Library,,
,Fawdon Community Library,"Fawdon Community Centre
Fawdon Park Road
Newcastle upon Tyne
NE3 2PJ",55.01434,-1.647460,31/03/2015,,,,,,Community Run Library,,
Blakelaw Library,Blakelaw Library,"Binswood Avenue
Blakelaw
Newcastle upon Tyne
NE5 3PN",54.994164,-1.673143,,,,,,,NCC Library,Old one demolished 1994? Then in neighbourhood centre,
,Blakelaw Library (Parish Council Funded),"Binswood Avenue
Blakelaw
Newcastle upon Tyne
NE5 3PN",54.994164,-1.673143,,,,,,,NCC Library,,
Denton Burn Library,Denton Burn Library,"West Road
Denton Burn
Newcastle upon Tyne, NE15 7QQ",54.9831,-1.687251,,,,,,,NCC Library,,
Montagu,Montagu,Arlington Avenue,54.998714,-1.643881,,,,,,,Convenience Store,,
Newbiggin Hall Library,Newbiggin Hall Library,,,,,,,,,,,,
,Simoside Community Centre and Newbiggin Hall Library,"Bedeburn Rd, Newcastle upon Tyne NE5 4JQ",55.007404,-1.694899,,,,,,,Community Centre,,
,Newbiggin Hall Library,"Trevelyan Drive
Newbiggin Hall Estate
Newcastle upon Tyne
NE5 4BT
",55.006726,-1.685559,,,,,,,Unstaffed NCC/YHN Partnership Library,,
Outer West Library and Customer Service Centre,West Denton Library,,,,,,,,,,,,
,Outer West Library and Customer Service Centre,"Denton Way
Denton Park
Newcastle upon Tyne, NE5 2QZ",54.992921,-1.699871,,,,,,,NCC Library and Customer Service Centre,"Denton Park, West Denton Photos demolished 2002",
