02/02/09                     Report: reg_active_borrow,ers2,blank
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   10  ZBYKER,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
BOOKSTART,4,0
HOUSEBOUND READER,1,0
0-5,1,0
6-13,7,0
Number of Borrowers        __________,,1
Active at this Branch:             13,,1
----------,,1
- 14 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   11  NEWBIGGIN HALL,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,33,0
JUNIOR,10,0
TEMPORARY TICKET,3,0
STAFF,4,0
PSEUD,1,0
CARER,1,0
BOOKFRIEND,3,0
CLASS VISITS,7,0
BOOKSTART,78,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,3,0
SURE START EAST,1,0
SURE START COWGATE AND BLAKELAW,2,0
SURE START NEWBIGGIN HALL,146,0
SURE START NORTH MOOR,3,0
18+,651,0
0-5,3,0
6-13,335,0
14-15,36,0
16-17,40,0
LEISUREPLUS CARD ADULT,1,0
Number of Borrowers        __________,,1
Active at this Branch:           1362,,1
----------,,1
- 15 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   12  NEWBURN,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,83,0
JUNIOR,16,0
STAFF,1,0
PSEUD,25,0
CLASS VISITS,2,0
BOOKSTART,170,0
BLAKELAW EAZ,2,0
LIBRARY MAINTENANCE,3,0
DENTON PARK EAZ,1,0
SURE START WESTGATE,1,0
SURE START RIVERSIDE,1,0
18+,627,0
0-5,11,0
6-13,184,0
14-15,21,0
16-17,30,0
LEISUREPLUS CARD ADULT,2,0
Number of Borrowers        __________,,1
Active at this Branch:           1180,,1
----------,,1
- 16 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   13  BLAKELAW,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,18,0
JUNIOR,5,0
TEMPORARY TICKET,2,0
STAFF,1,0
PSEUD,1,0
CLASS VISITS,12,0
BOOKSTART,73,0
BLAKELAW EAZ,6,0
LIBRARY MAINTENANCE,9,0
SURE START COWGATE AND BLAKELAW,172,0
SURE START NORTH MOOR,6,0
18+,272,0
0-5,4,0
6-13,205,0
14-15,29,0
16-17,18,0
Number of Borrowers        __________,,1
Active at this Branch:            833,,1
----------,,1
- 17 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   14  CRUDDAS PARK,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,12,0
JUNIOR,1,0
TEMPORARY TICKET,1,0
PSEUD,6,0
CLASS VISITS,19,0
BOOKSTART,46,0
LIBRARY MAINTENANCE,1,0
SURE START WESTGATE,42,0
SURE START EAST,1,0
READING SCHEME,1,0
SURE START RIVERSIDE,40,0
SURE START NORTH MOOR,1,0
18+,599,0
6-13,184,0
14-15,17,0
16-17,22,0
LEISUREPLUS CARD ADULT,2,0
Number of Borrowers        __________,,1
Active at this Branch:            995,,1
----------,,1
- 18 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   15  FAWDON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,15,0
JUNIOR,3,0
STAFF,1,0
PSEUD,3,0
CLASS VISITS,6,0
BOOKSTART,32,0
LIBRARY MAINTENANCE,1,0
SURE START NORTH MOOR,53,0
18+,266,0
6-13,122,0
14-15,15,0
16-17,8,0
LEISUREPLUS CARD ADULT,3,0
VISUALLY IMPAIRED,2,0
Number of Borrowers        __________,,1
Active at this Branch:            530,,1
----------,,1
- 19 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   16  ZWALKERVILLE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,4,0
JUNIOR,1,0
18+,40,0
6-13,2,0
Number of Borrowers        __________,,1
Active at this Branch:             47,,1
----------,,1
- 20 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   17  ZSCOTSWOOD,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
JUNIOR,4,0
CLASS VISITS,1,0
18+,14,0
6-13,3,0
14-15,1,0
16-17,1,0
Number of Borrowers        __________,,1
Active at this Branch:             24,,1
----------,,1
- 21 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   18  ZMONTAGU,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,3,0
MINIBUS,1,0
18+,14,0
6-13,5,0
14-15,2,0
Number of Borrowers        __________,,1
Active at this Branch:             25,,1
----------,,1
- 22 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   19  DINNINGTON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,4,0
JUNIOR,3,0
PSEUD,2,0
BOOKFRIEND,2,0
HOMES,1,0
CLASS VISITS,6,0
BOOKSTART,28,0
LIBRARY MAINTENANCE,1,0
18+,186,0
6-13,55,0
14-15,4,0
16-17,7,0
LEISUREPLUS CARD ADULT,1,0
Number of Borrowers        __________,,1
Active at this Branch:            300,,1
----------,,1
- 23 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   20  DENTON BURN,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,74,0
JUNIOR,14,0
TEMPORARY TICKET,5,0
STAFF,10,0
PSEUD,2,0
CARER,1,0
BOOKFRIEND,1,0
MINIBUS,5,0
CLASS VISITS,3,0
BOOKSTART,256,0
SURE START WESTGATE,2,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,81,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NEWBIGGIN HALL,2,0
18+,1346,0
0-5,5,0
6-13,386,0
14-15,56,0
16-17,45,0
LEISUREPLUS CARD ADULT,3,0
Number of Borrowers        __________,,1
Active at this Branch:           2299,,1
----------,,1
- 24 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   21  MOBILE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,7,0
JUNIOR,1,0
STAFF,1,0
PSEUD,2,0
CARER,1,0
MINIBUS,1,0
BOOKSTART,10,0
18+,362,0
0-5,2,0
6-13,106,0
14-15,7,0
16-17,3,0
Number of Borrowers        __________,,1
Active at this Branch:            503,,1
----------,,1
- 25 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   23  MOORSIDE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,16,0
JUNIOR,5,0
STAFF,2,0
PSEUD,3,0
CARER,1,0
CLASS VISITS,22,0
BOOKSTART,114,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,1,0
PLAYGROUPS,1,0
SURE START WESTGATE,62,0
SURE START RIVERSIDE,68,0
18+,285,0
0-5,5,0
6-13,275,0
14-15,30,0
16-17,16,0
Number of Borrowers        __________,,1
Active at this Branch:            907,,1
----------,,1
- 26 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   24  PRIORITY SERVICES,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,6,0
JUNIOR,1,0
TEMPORARY TICKET,2,0
STAFF,3,0
PSEUD,9,0
HOMES,126,0
CLASS VISITS,5,0
BOOKSTART,9,0
LIBRARY MAINTENANCE,2,0
PLAYGROUPS,116,0
SURE START WESTGATE,1,0
SURE START EAST,1,0
SURE START FOSSWAY,1,0
READING SCHEME,1,0
HOUSEBOUND READER,554,0
SURE START RIVERSIDE,1,0
SURE START COWGATE AND BLAKELAW,1,0
LIFELONG LEARNING,1,0
18+,41,0
6-13,83,0
LEISUREPLUS CARD ADULT,1,0
Number of Borrowers        __________,,1
Active at this Branch:            965,,1
----------,,1
- 27 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   28  LOCAL STUDIES,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,90,0
STUDENT,1,0
TEMPORARY TICKET,5,0
STAFF,6,0
PSEUD,1,0
BOOKSTART,54,0
SURE START EAST,4,0
SURE START FOSSWAY,2,0
SURE START RIVERSIDE,4,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NEWBIGGIN HALL,1,0
SURE START NORTH MOOR,3,0
18+,807,0
0-5,7,0
6-13,23,0
14-15,4,0
16-17,8,0
Number of Borrowers        __________,,1
Active at this Branch:           1021,,1
----------,,1
- 28 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   30  ZBUSINESS & SCIENCE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
LIBRARY MAINTENANCE,1,0
18+,3,0
Number of Borrowers        __________,,1
Active at this Branch:              4,,1
----------,,1
- 29 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   31  ZCITY INFORMATION SERVICE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,2,0
Number of Borrowers        __________,,1
Active at this Branch:              2,,1
----------,,1
- 30 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   33  SUPPORT SERVICES,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,1,0
PSEUD,9,0
LIBRARY MAINTENANCE,48,0
HOUSEBOUND READER,1,0
Number of Borrowers        __________,,1
Active at this Branch:             59,,1
----------,,1
- 31 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   35  EAST END,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,99,0
JUNIOR,26,0
TEMPORARY TICKET,72,0
STAFF,13,0
VIDEO,5,0
PSEUD,11,0
CARER,1,0
BOOKFRIEND,1,0
MINIBUS,2,0
WORKER,2,0
CLASS VISITS,31,0
BOOKSTART,615,0
LIBRARY MAINTENANCE,2,0
PLAYGROUPS,2,0
SURE START WESTGATE,1,0
SURE START EAST,216,0
SURE START FOSSWAY,48,0
SURE START RIVERSIDE,7,0
SURE START NORTH MOOR,7,0
18+,5334,0
0-5,16,0
6-13,1349,0
14-15,146,0
16-17,152,0
LEISUREPLUS CARD ADULT,23,0
- 32 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Number of Borrowers        __________,,1
Active at this Branch:           8181,,1
----------,,1
- 33 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   36  CITY,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,220,0
JUNIOR,6,0
STUDENT,4,0
TEMPORARY TICKET,4,0
SUBSCRIPTION,4,0
STAFF,113,0
VIDEO,5,0
PSEUD,22,0
CARER,1,0
BOOKFRIEND,1,0
MINIBUS,6,0
WORKER,4,0
CLASS VISITS,1,0
BOOKSTART,92,0
LIBRARY MAINTENANCE,6,0
SURE START WESTGATE,3,0
SURE START EAST,1,0
SURE START FOSSWAY,1,0
SURE START RIVERSIDE,6,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NEWBIGGIN HALL,1,0
SURE START NORTH MOOR,4,0
LIFELONG LEARNING,2,0
18+,5252,0
6-13,216,0
14-15,37,0
- 34 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
16-17,37,0
XCHANGE PSEUDO,1,0
LEISUREPLUS CARD ADULT,33,0
VISUALLY IMPAIRED,4,0
Number of Borrowers        __________,,1
Active at this Branch:           6088,,1
----------,,1
- 35 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   37  CITY MOBILE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,21,0
JUNIOR,1,0
TEMPORARY TICKET,5,0
PSEUD,2,0
BOOKSTART,5,0
18+,168,0
0-5,1,0
6-13,6,0
14-15,2,0
16-17,1,0
Number of Borrowers        __________,,1
Active at this Branch:            212,,1
----------,,1
- 36 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   38  TOURIST INFORMATION CENTRE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,103,0
JUNIOR,1,0
STUDENT,1,0
TEMPORARY TICKET,10,0
STAFF,1,0
PSEUD,2,0
BOOKSTART,4,0
LIFELONG LEARNING,1,0
18+,996,0
6-13,9,0
14-15,5,0
16-17,20,0
Number of Borrowers        __________,,1
Active at this Branch:           1153,,1
----------,,1
- 37 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   40  ICT,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 38 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   42  NEW HIGH HEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
PSEUD,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 39 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   43  NEW GOSFORTH,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
PSEUD,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 40 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   44  NEW BENWELL,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
PSEUD,1,0
SURE START RIVERSIDE,1,0
18+,4,0
Number of Borrowers        __________,,1
Active at this Branch:              6,,1
----------,,1
- 41 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   66  ZSTOCK,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
PSEUD,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 42 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   99  OLD CITY STOCK,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,49,0
JUNIOR,3,0
STAFF,58,0
VIDEO,1,0
PSEUD,19,0
MINIBUS,1,0
LIBRARY MAINTENANCE,1,0
18+,196,0
6-13,4,0
16-17,1,0
LEISUREPLUS CARD ADULT,1,0
Number of Borrowers        __________,,1
Active at this Branch:            334,,1
----------,,1
- 43 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:  998  Web Branch,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,2,0
Number of Borrowers        __________,,1
Active at this Branch:              2,,1
----------,,1
