01/07/09                     Report: reg_active_borrow,ers2,blank
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   10  ZBYKER,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
BOOKSTART,1,0
HOUSEBOUND READER,1,0
6-13,5,0
Number of Borrowers        __________,,1
Active at this Branch:              7,,1
----------,,1
- 14 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   11  NEWBIGGIN HALL,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,30,0
JUNIOR,9,0
TEMPORARY TICKET,2,0
STAFF,3,0
PSEUD,1,0
CARER,1,0
BOOKFRIEND,2,0
HOMES,1,0
CLASS VISITS,8,0
BOOKSTART,112,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,3,0
SURE START EAST,1,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NEWBIGGIN HALL,116,0
SURE START NORTH MOOR,4,0
18+,681,0
0-5,8,0
6-13,384,0
14-15,45,0
16-17,40,0
LEISUREPLUS CARD ADULT,1,0
Number of Borrowers        __________,,1
Active at this Branch:           1454,,1
----------,,1
- 15 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   12  NEWBURN,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,60,0
JUNIOR,9,0
STAFF,3,0
PSEUD,27,0
BOOKFRIEND,1,0
CLASS VISITS,3,0
INTERNET USER,1,0
BOOKSTART,159,0
BLAKELAW EAZ,1,0
LIBRARY MAINTENANCE,3,0
DENTON PARK EAZ,1,0
SURE START WESTGATE,1,0
READING SCHEME,1,0
SURE START RIVERSIDE,1,0
18+,717,0
0-5,7,0
6-13,195,0
14-15,28,0
16-17,34,0
LEISUREPLUS CARD ADULT,3,0
Number of Borrowers        __________,,1
Active at this Branch:           1255,,1
----------,,1
- 16 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   13  BLAKELAW,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,12,0
JUNIOR,2,0
PSEUD,1,0
CLASS VISITS,14,0
BOOKSTART,89,0
BLAKELAW EAZ,3,0
LIBRARY MAINTENANCE,11,0
SURE START WESTGATE,1,0
SURE START COWGATE AND BLAKELAW,186,0
SURE START NEWBIGGIN HALL,1,0
SURE START NORTH MOOR,5,0
18+,291,0
0-5,5,0
6-13,218,0
14-15,26,0
16-17,19,0
LEISUREPLUS CARD ADULT,1,0
VISUALLY IMPAIRED,2,0
Number of Borrowers        __________,,1
Active at this Branch:            887,,1
----------,,1
- 17 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   14  CRUDDAS PARK,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,12,0
JUNIOR,5,0
PSEUD,7,0
CLASS VISITS,18,0
BOOKSTART,69,0
LIBRARY MAINTENANCE,1,0
SURE START WESTGATE,44,0
SURE START EAST,1,0
SURE START RIVERSIDE,30,0
SURE START NORTH MOOR,1,0
18+,628,0
6-13,175,0
14-15,19,0
16-17,19,0
LEISUREPLUS CARD ADULT,3,0
Number of Borrowers        __________,,1
Active at this Branch:           1032,,1
----------,,1
- 18 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   15  FAWDON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,9,0
JUNIOR,1,0
STAFF,1,0
PSEUD,3,0
CLASS VISITS,8,0
BOOKSTART,58,0
LIBRARY MAINTENANCE,1,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NORTH MOOR,50,0
18+,290,0
0-5,1,0
6-13,131,0
14-15,15,0
16-17,10,0
LEISUREPLUS CARD ADULT,3,0
VISUALLY IMPAIRED,2,0
Number of Borrowers        __________,,1
Active at this Branch:            584,,1
----------,,1
- 19 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   16  ZWALKERVILLE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,3,0
JUNIOR,1,0
18+,47,0
6-13,1,0
14-15,1,0
Number of Borrowers        __________,,1
Active at this Branch:             53,,1
----------,,1
- 20 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   17  ZSCOTSWOOD,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
JUNIOR,3,0
CLASS VISITS,1,0
18+,13,0
6-13,4,0
14-15,1,0
Number of Borrowers        __________,,1
Active at this Branch:             22,,1
----------,,1
- 21 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   18  ZMONTAGU,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,3,0
JUNIOR,1,0
MINIBUS,1,0
18+,16,0
6-13,4,0
14-15,2,0
Number of Borrowers        __________,,1
Active at this Branch:             27,,1
----------,,1
- 22 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   19  DINNINGTON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,2,0
JUNIOR,1,0
PSEUD,2,0
BOOKFRIEND,4,0
CLASS VISITS,6,0
BOOKSTART,33,0
LIBRARY MAINTENANCE,3,0
18+,212,0
6-13,55,0
14-15,3,0
16-17,10,0
LEISUREPLUS CARD ADULT,1,0
Number of Borrowers        __________,,1
Active at this Branch:            332,,1
----------,,1
- 23 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   20  DENTON BURN,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,66,0
JUNIOR,12,0
STAFF,8,0
PSEUD,2,0
CARER,1,0
BOOKFRIEND,1,0
MINIBUS,4,0
CLASS VISITS,3,0
BOOKSTART,299,0
SURE START WESTGATE,2,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,54,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NEWBIGGIN HALL,1,0
SURE START NORTH MOOR,1,0
18+,1399,0
0-5,4,0
6-13,406,0
14-15,52,0
16-17,36,0
LEISUREPLUS CARD ADULT,3,0
Number of Borrowers        __________,,1
Active at this Branch:           2356,,1
----------,,1
- 24 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   21  MOBILE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,5,0
JUNIOR,2,0
STAFF,1,0
PSEUD,1,0
CARER,1,0
BOOKSTART,7,0
BLAKELAW EAZ,2,0
18+,368,0
0-5,1,0
6-13,102,0
14-15,6,0
16-17,3,0
Number of Borrowers        __________,,1
Active at this Branch:            499,,1
----------,,1
- 25 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   23  MOORSIDE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,8,0
JUNIOR,3,0
STAFF,2,0
PSEUD,4,0
CARER,1,0
CLASS VISITS,22,0
BOOKSTART,126,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,1,0
PLAYGROUPS,1,0
SURE START WESTGATE,53,0
SURE START RIVERSIDE,52,0
SURE START NORTH MOOR,1,0
18+,302,0
0-5,5,0
6-13,317,0
14-15,29,0
16-17,23,0
Number of Borrowers        __________,,1
Active at this Branch:            951,,1
----------,,1
- 26 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   24  PRIORITY SERVICES,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,2,0
JUNIOR,1,0
TEMPORARY TICKET,2,0
STAFF,3,0
PSEUD,9,0
HOMES,127,0
CLASS VISITS,2,0
BOOKSTART,14,0
LIBRARY MAINTENANCE,2,0
PLAYGROUPS,116,0
SURE START WESTGATE,1,0
SURE START EAST,1,0
READING SCHEME,1,0
HOUSEBOUND READER,535,0
SURE START COWGATE AND BLAKELAW,2,0
LIFELONG LEARNING,1,0
18+,31,0
6-13,88,0
Number of Borrowers        __________,,1
Active at this Branch:            938,,1
----------,,1
- 27 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   27  PLAYGROUP (YOUTH SERVICES),,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
6-13,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 28 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   28  LOCAL STUDIES,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,59,0
JUNIOR,3,0
STUDENT,1,0
TEMPORARY TICKET,2,0
STAFF,4,0
PSEUD,1,0
BOOKSTART,98,0
SURE START EAST,4,0
SURE START FOSSWAY,2,0
SURE START RIVERSIDE,6,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NEWBIGGIN HALL,2,0
SURE START NORTH MOOR,5,0
18+,683,0
0-5,1,0
6-13,21,0
14-15,5,0
16-17,6,0
Number of Borrowers        __________,,1
Active at this Branch:            904,,1
----------,,1
- 29 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   30  ZBUSINESS & SCIENCE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,1,0
LIBRARY MAINTENANCE,1,0
18+,3,0
Number of Borrowers        __________,,1
Active at this Branch:              5,,1
----------,,1
- 30 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   31  ZCITY INFORMATION SERVICE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,3,0
Number of Borrowers        __________,,1
Active at this Branch:              3,,1
----------,,1
- 31 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   33  SUPPORT SERVICES,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,2,0
PSEUD,8,0
LIBRARY MAINTENANCE,44,0
HOUSEBOUND READER,1,0
18+,587,0
6-13,1,0
14-15,1,0
16-17,5,0
Number of Borrowers        __________,,1
Active at this Branch:            649,,1
----------,,1
- 32 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   35  EAST END,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,101,0
JUNIOR,25,0
TEMPORARY TICKET,10,0
STAFF,14,0
VIDEO,5,0
PSEUD,14,0
BOOKFRIEND,2,0
MINIBUS,2,0
WORKER,1,0
CLASS VISITS,31,0
BOOKSTART,658,0
LIBRARY MAINTENANCE,3,0
PLAYGROUPS,2,0
SURE START WESTGATE,1,0
SURE START EAST,167,0
SURE START FOSSWAY,44,0
SURE START RIVERSIDE,9,0
SURE START NORTH MOOR,5,0
18+,5575,0
0-5,25,0
6-13,1444,0
14-15,158,0
16-17,186,0
LEISUREPLUS CARD ADULT,32,0
- 33 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Number of Borrowers        __________,,1
Active at this Branch:           8514,,1
----------,,1
- 34 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   36  CITY,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,369,0
JUNIOR,11,0
STUDENT,9,0
TEMPORARY TICKET,6,0
SUBSCRIPTION,3,0
STAFF,103,0
VIDEO,2,0
PSEUD,26,0
CARER,1,0
BOOKFRIEND,2,0
MINIBUS,6,0
WORKER,14,0
CLASS VISITS,19,0
BOOKSTART,352,0
LIBRARY MAINTENANCE,14,0
SURE START WESTGATE,3,0
SURE START FOSSWAY,1,0
SURE START RIVERSIDE,4,0
SURE START COWGATE AND BLAKELAW,2,0
SURE START NEWBIGGIN HALL,1,0
SURE START NORTH MOOR,4,0
LIFELONG LEARNING,3,0
18+,14818,0
0-5,61,0
6-13,1054,0
14-15,158,0
- 35 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
16-17,295,0
LEISUREPLUS CARD ADULT,50,0
VISUALLY IMPAIRED,12,0
Number of Borrowers        __________,,1
Active at this Branch:          17403,,1
----------,,1
- 36 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   37  CITY MOBILE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,12,0
JUNIOR,1,0
TEMPORARY TICKET,1,0
PSEUD,2,0
BOOKSTART,5,0
18+,160,0
0-5,1,0
6-13,6,0
14-15,2,0
16-17,1,0
LEISUREPLUS CARD ADULT,1,0
Number of Borrowers        __________,,1
Active at this Branch:            192,,1
----------,,1
- 37 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   38  TOURIST INFORMATION CENTRE,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,72,0
JUNIOR,1,0
STUDENT,1,0
TEMPORARY TICKET,2,0
PSEUD,1,0
BOOKSTART,8,0
18+,1126,0
0-5,1,0
6-13,9,0
14-15,7,0
16-17,21,0
Number of Borrowers        __________,,1
Active at this Branch:           1249,,1
----------,,1
- 38 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   40  ICT,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 39 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   41  NEW CITY LIBRARY,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,7,0
STAFF,1,0
PSEUD,1,0
WORKER,1,0
BOOKSTART,6,0
LIBRARY MAINTENANCE,1,0
18+,223,0
0-5,10,0
6-13,22,0
14-15,4,0
16-17,3,0
LEISUREPLUS CARD ADULT,1,0
Number of Borrowers        __________,,1
Active at this Branch:            280,,1
----------,,1
- 40 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   42  NEW HIGH HEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
PSEUD,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 41 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   44  NEW BENWELL,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
PSEUD,1,0
BOOKSTART,7,0
SURE START RIVERSIDE,1,0
18+,4,0
Number of Borrowers        __________,,1
Active at this Branch:             13,,1
----------,,1
- 42 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   66  ZSTOCK,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
PSEUD,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 43 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   99  OLD CITY STOCK,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,53,0
JUNIOR,2,0
STAFF,50,0
VIDEO,1,0
PSEUD,18,0
WORKER,7,0
LIBRARY MAINTENANCE,2,0
18+,259,0
6-13,5,0
16-17,1,0
Number of Borrowers        __________,,1
Active at this Branch:            398,,1
----------,,1
- 44 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:  998  Web Branch,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
